left_path,right_path,left_class,right_class,distance,cross_label
P:\SkinDiseaseDetection ML\Mild\eczema-hand-154.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_55_eczema-hand-154.jpeg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_76_eczema-nummular-183.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Severe\tinea-versicolor-185.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_1132_desquamation-5.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-body-161.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_1132_desquamation-5.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-subacute-70.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_1237_eczema-fingertips-85.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_eczema-fingertips-85.jpeg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_16_eczema-hand-144.jpeg,P:\SkinDiseaseDetection ML\Moderate\eczema-hand-144.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_174_eczema-leg-1.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-148.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_1211_eczema-nummular-129.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_eczema-fingertips-77.jpeg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-body-105.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-body-175.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-fingertips-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_132_acne-cystic-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_39_aug_108_eczema-asteatotic-31.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-131.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_236_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_65_eczema-fingertips-90.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_241_eczema-asteatotic-28.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-22.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_243_acne-closed-comedo-003.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_acne-closed-comedo-0031 - Copy.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_243_acne-closed-comedo-003.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_140_acne-closed-comedo-0031 - Copy.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_29_Screenshot 2025-11-17 021418.png,P:\SkinDiseaseDetection ML\Moderate\mendeley_Screenshot 2025-11-17 021418.png,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_318_eczema-subacute-43.jpg,P:\SkinDiseaseDetection ML\Moderate\eczema-subacute-43.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_33_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_1211_eczema-nummular-129.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_33_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_eczema-fingertips-77.jpeg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_33_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-body-105.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_33_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-body-175.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_33_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-fingertips-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_33_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_33_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_132_acne-cystic-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_33_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_39_aug_108_eczema-asteatotic-31.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_33_aug_227_eczema-subacute-93.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-131.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_35_acne-cystic-13.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_170_acne-face-2-9__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDg1XQ.jpeg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_39_aug_50_eczema-fingertips-115.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_50_eczema-fingertips-115.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_420_eczema-foot-15.jpg,P:\SkinDiseaseDetection ML\Moderate\eczema-foot-15.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_427_eczema-nummular-105.jpg,P:\SkinDiseaseDetection ML\Moderate\eczema-nummular-105.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_475_eczema-subacute-30.jpg,P:\SkinDiseaseDetection ML\Moderate\eczema-face-1.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_53_eczema-nummular-11.jpeg,P:\SkinDiseaseDetection ML\Moderate\eczema-chronic-29.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_601_eczema-nummular-107.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_298_eczema-nummular-107.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_634_eczema-subacute-58.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-148.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_64_acne-closed-comedo-003.jpg,P:\SkinDiseaseDetection ML\Severe\tinea-body-200.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_71_eczema-asteatotic-6.jpeg,P:\SkinDiseaseDetection ML\Severe\eczema-asteatotic-6.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_758_eczema-trunk-generalized-22.jpg,P:\SkinDiseaseDetection ML\Moderate\eczema-subacute-43.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_81_acne-open-comedo-51.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_acne-open-comedo-51.jpeg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_876_eczema-arms-9.jpg,P:\SkinDiseaseDetection ML\Moderate\eczema-arms-9.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_8_acne-open-comedo-51.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_67_acne-open-comedo-51.jpeg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_aug_9_aug_1230_eczema-lids-1.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_1230_eczema-lids-1.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\mendeley_eczema-asteatotic-28.jpeg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-22.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-118.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_1211_eczema-nummular-129.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-118.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_eczema-fingertips-77.jpeg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-118.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-body-105.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-118.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-body-175.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-118.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-fingertips-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-118.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-118.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_132_acne-cystic-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-118.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_39_aug_108_eczema-asteatotic-31.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-118.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-131.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-119.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_1211_eczema-nummular-129.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-119.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_eczema-fingertips-77.jpeg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-119.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-body-105.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-119.jpg,P:\SkinDiseaseDetection ML\Moderate\tinea-body-175.jpg,Mild,Moderate,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-119.jpg,P:\SkinDiseaseDetection ML\Severe\eczema-fingertips-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-119.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_acne-cystic-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-119.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_132_acne-cystic-104.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-119.jpg,P:\SkinDiseaseDetection ML\Severe\mendeley_aug_39_aug_108_eczema-asteatotic-31.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-119.jpg,P:\SkinDiseaseDetection ML\Severe\stasis-dermatitis-131.jpg,Mild,Severe,0,True
P:\SkinDiseaseDetection ML\Mild\tinea-body-126.jpg,P:\SkinDiseaseDetection ML\Moderate\mendeley_aug_1211_eczema-nummular-129.jpg,Mild,Moderate,0,True
